timestamps,tweet_id,entity,sentiment,message
2025-11-25T22:57:59.682488,3364,Facebook,Irrelevant,"I mentioned on Facebook that I was struggling for motivation to go for a run the other day, which has been translated by Tom’s great auntie as ‘Hayley can’t get out of bed’ and told to his grandma, who now thinks I’m a lazy, terrible person 🤣"
2025-11-25T23:02:48.263517,352,Amazon,Neutral,BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc.co.uk/news/av/busine…
2025-11-25T23:06:02.453455,8312,Microsoft,Negative,@Microsoft Why do I pay for WORD when it functions so poorly on my @SamsungUS Chromebook? 🙄
2025-11-25T23:10:11.624008,4371,CS-GO,Negative,"CSGO matchmaking is so full of closet hacking, it's a truly awful game."
2025-11-25T23:15:10.717915,4433,Google,Neutral,Now the President is slapping Americans in the face that he really did commit an unlawful act after his  acquittal! From Discover on Google vanityfair.com/news/2020/02/t…
2025-11-25T23:18:28.572730,6273,FIFA,Negative,"Hi @EAHelp I’ve had Madeleine McCann in my cellar for the past 13 years and the little sneaky thing just escaped whilst I was loading up some fifa points, she took my card and I’m having to use my paypal account but it isn’t working, can you help me resolve it please?"
2025-11-25T23:22:10.367597,7925,MaddenNFL,Positive,Thank you @EAMaddenNFL!! New TE Austin Hooper in the ORANGE & BROWN!! #Browns | @AustinHooper18 pic.twitter.com/GRg4xzFKOn
2025-11-25T23:27:49.523309,11332,TomClancysRainbowSix,Positive,"Rocket League, Sea of Thieves or Rainbow Six: Siege🤔? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow"
2025-11-25T23:33:01.773749,1107,AssassinsCreed,Positive,my ass still knee-deep in Assassins Creed Odyssey with no way out anytime soon lmao
2025-11-25T23:34:29.576381,2069,CallOfDuty,Negative,FIX IT JESUS ! Please FIX IT ! What In the world is going on here.  @PlayStation @AskPlayStation @Playstationsup @Treyarch @CallofDuty negative 345 silver wolf error code pic.twitter.com/ziRyhrf59Q
2025-11-25T23:38:07.470499,3185,Dota2,Positive,The professional dota 2 scene is fucking exploding and I completely welcome it.Get the garbage out.
2025-11-25T23:38:34.915015,1172,AssassinsCreed,Positive,Itching to assassinate #TCCGif #AssassinsCreedBlackFlag #AssassinsCreed #TheCapturedCollective pic.twitter.com/vv8MOGtCjw
2025-11-25T23:43:28.223796,11783,Verizon,Negative,"@FredTJoseph hey fred, Comcast cut the cable and now Verizon stays calling me to shut that too pic.twitter.com/CPWSrmueDg"
2025-11-25T23:44:32.548809,4286,CS-GO,Neutral,CSGO WIngman (Im Silver dont bully) twitch.tv/lprezh
2025-11-25T23:47:30.119313,8431,NBA2K,Negative,@NBA2K game sucks... down by 2 with 38 seconds left and my team intentionally fouls
2025-11-25T23:47:52.815711,9135,Nvidia,Positive,Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate!Really excited to see NeMo embracing Hydra as the way to take control over the configuration madness that is machine learning! :)
2025-11-25T23:53:44.142162,4822,GrandTheftAuto(GTA),Positive,yeah and it’s fun
2025-11-25T23:53:48.043142,3068,Dota2,Negative,fuck my life 😆
2025-11-25T23:57:15.200807,10537,RedDeadRedemption(RDR),Positive,happy birthday red dead redemption that shit changed my life what a crazy experience
2025-11-26T00:02:14.856625,8056,Microsoft,Negative,What does that say about Microsoft hardware & software security - The Man gets hacked
2025-11-26T00:04:07.298761,2131,CallOfDuty,Negative,The new @CallofDuty for ps5 is 🔥🔥🔥🔥 Oh God 😭😍
2025-11-26T00:07:56.542846,5450,Hearthstone,Neutral,Anyone that plays a bad luck albatross deck in hearthstone is a literal cop. Fucking fun police. pic.twitter.com/jY6TRq351e
2025-11-26T00:11:03.693642,2286,CallOfDuty,Irrelevant,"Call of duty warzone (livestream) w/ subs #Warzone youtu.be/7BhH_pjOMU4 via @YouTube Please come watch this AMAZING Call of Duty Warzone stream from this AMAZING streamer! It'd be really, really nice to give him some views and likes as well! 😀 #COD #CallofDuty #Warzone"
2025-11-26T00:11:50.283211,4038,CS-GO,Negative,"Finally played Rainbow Six Siege for the first time... I have to admit, I prefer it over pulling my hair out in CSGO any day."
2025-11-26T00:11:57.952099,526,ApexLegends,Neutral,Umm @PlayApex  when I died it said Bug This pic.twitter.com/bzMHzbadOF
2025-11-26T00:12:15.908433,8977,Nvidia,Neutral,"#gtc20 -  nice, motivational, and very accessible Nvidia/AI product fair + related tech talks nvidia.com/en-us/gtc/keyn… interesting interaction/social activities: braindates, dinner with strangers, ...  and free attendance for universities: reg.rainfocus.com/flow/nvidia/gt…"
2025-11-26T00:18:02.551825,11995,Verizon,Negative,Yo! @Verizon just added a $120 'fee' to my account under #COVID19 protection without my permission and I am forced to pay it! Check your bills carefully!
2025-11-26T00:22:44.835812,9449,Overwatch,Irrelevant,They might not be the last team that has to make this difficult decision. #update #overwatchleague #nyxl #overwatch #overwatch2 #blizzard #games #lockdown pic.twitter.com/dI1HTl4mcV
2025-11-26T00:23:28.576251,10193,PlayerUnknownsBattlegrounds(PUBG),Irrelevant,Best squad yet#pubg #pubgmobile #pubgkenya instagram.com/p/B-Obt_eAA4f/…
2025-11-26T00:26:34.939789,2419,Borderlands,Negative,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
2025-11-26T00:27:51.397051,8857,Nvidia,Positive,Watching NVIDIA position itself as not just a leading hardware manufacturer but also providing meaningful software to consumers is a remarkable thing of beauty. What an incredibly lead company with clear focus and goals. Well done @nvidia.
2025-11-26T00:29:22.900589,9704,PlayStation5(PS5),Positive,I don’t see how this looks like as Xbox controller but y’all will say anything. Anyway this is fire.
2025-11-26T00:33:17.640668,7024,johnson&johnson,Negative,"Johnson & Johnson, knowingly sold baby powder containing asbestos for decades and are now tasked with producing #COVID19 #vaccine... along with corporate criminals #Glaxosmithkline - who received the 2nd largest fine in corporate history for their various crimes. Trust them? 😳"
2025-11-26T00:38:20.630649,8842,Nvidia,Positive,The things I would do for a @nvidia 3090... unspeakable! 🧐
2025-11-26T00:40:43.151083,6650,Fortnite,Negative,Fortnite is running like ass.. fps drops everywhere wtf?
2025-11-26T00:46:15.500646,2337,CallOfDuty,Neutral,"Great play dude , what a good optic for the mk2 Carbine too 👌"
2025-11-26T00:47:52.466007,10589,RedDeadRedemption(RDR),Neutral,I got the horses in the back #PS4live (Red Dead Redemption 2)  live at youtu.be/9BVKh67OaEI
